company_id,revenue_cagr_3yr,revenue_cagr_3yr_flag,revenue_cagr_5yr,revenue_cagr_5yr_flag,revenue_cagr_10yr,revenue_cagr_10yr_flag,pat_cagr_3yr,pat_cagr_3yr_flag,pat_cagr_5yr,pat_cagr_5yr_flag,pat_cagr_10yr,pat_cagr_10yr_flag,eps_cagr_3yr,eps_cagr_3yr_flag,eps_cagr_5yr,eps_cagr_5yr_flag,eps_cagr_10yr,eps_cagr_10yr_flag
RELIANCE,24.46,NORMAL,9.61,NORMAL,7.57,NORMAL,13.71,NORMAL,14.68,NORMAL,13.36,NORMAL,9.35,NORMAL,11.95,NORMAL,12.29,NORMAL
SBILIFE,17.24,NORMAL,24.23,NORMAL,22.56,NORMAL,9.16,NORMAL,7.37,NORMAL,10.03,NORMAL,8.2,NORMAL,7.89,NORMAL,10.5,NORMAL
SBIN,16.45,NORMAL,11.63,NORMAL,8.79,NORMAL,42.79,NORMAL,83.41,NORMAL,16.73,NORMAL,44.22,NORMAL,90.37,NORMAL,14.72,NORMAL
SHREECEM,14.81,NORMAL,10.33,NORMAL,13.64,NORMAL,-9.49,NORMAL,11.29,NORMAL,8.21,NORMAL,-9.43,NORMAL,10.68,NORMAL,7.82,NORMAL
SHRIRAMFIN,27.83,NORMAL,18.56,NORMAL,15.68,NORMAL,43.59,NORMAL,23.49,NORMAL,18.48,NORMAL,29.4,NORMAL,14.29,NORMAL,13.49,NORMAL
SIEMENS,19.0,NORMAL,11.19,NORMAL,7.61,NORMAL,35.65,NORMAL,19.85,NORMAL,16.25,NORMAL,34.84,NORMAL,19.64,NORMAL,16.15,NORMAL
SUNPHARMA,13.13,NORMAL,10.78,NORMAL,11.67,NORMAL,61.72,NORMAL,24.54,NORMAL,9.5,NORMAL,49.38,NORMAL,29.46,NORMAL,10.31,NORMAL
TATACONSUM,9.44,NORMAL,15.96,NORMAL,6.99,NORMAL,9.32,NORMAL,21.6,NORMAL,9.07,NORMAL,10.06,NORMAL,14.87,NORMAL,5.54,NORMAL
TATAMOTORS,20.58,NORMAL,7.72,NORMAL,6.52,NORMAL,,TURNAROUND,,TURNAROUND,8.51,NORMAL,,TURNAROUND,,TURNAROUND,6.95,NORMAL
TATAPOWER,23.4,NORMAL,15.51,NORMAL,5.57,NORMAL,43.81,NORMAL,10.43,NORMAL,79.98,NORMAL,44.22,NORMAL,5.92,NORMAL,,TURNAROUND
TATASTEEL,13.61,NORMAL,7.77,NORMAL,4.43,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
TCS,13.63,NORMAL,10.46,NORMAL,11.4,NORMAL,12.29,NORMAL,7.87,NORMAL,9.08,NORMAL,13.01,NORMAL,8.62,NORMAL,9.99,NORMAL
TECHM,11.16,NORMAL,8.4,NORMAL,10.71,NORMAL,-18.04,NORMAL,-10.99,NORMAL,-2.42,NORMAL,-19.5,NORMAL,-11.42,NORMAL,-2.84,NORMAL
TITAN,33.14,NORMAL,20.9,NORMAL,16.68,NORMAL,53.11,NORMAL,20.27,NORMAL,16.88,NORMAL,52.48,NORMAL,19.51,NORMAL,17.16,NORMAL
TORNTPHARM,10.25,NORMAL,6.93,NORMAL,9.9,NORMAL,9.77,NORMAL,30.59,NORMAL,9.57,NORMAL,9.82,NORMAL,30.39,NORMAL,9.37,NORMAL
TRENT,68.36,NORMAL,36.31,NORMAL,18.16,NORMAL,,TURNAROUND,73.11,NORMAL,,TURNAROUND,,TURNAROUND,69.52,NORMAL,,TURNAROUND
TVSMOTOR,26.32,NORMAL,14.19,NORMAL,16.66,NORMAL,43.03,NORMAL,19.67,NORMAL,25.27,NORMAL,40.43,NORMAL,19.14,NORMAL,24.57,NORMAL
ULTRACEMCO,16.6,NORMAL,11.33,NORMAL,13.09,NORMAL,8.64,NORMAL,23.89,NORMAL,12.21,NORMAL,8.74,NORMAL,22.53,NORMAL,11.75,NORMAL
UNIONBANK,13.14,NORMAL,23.95,NORMAL,13.07,NORMAL,68.91,NORMAL,,TURNAROUND,23.39,NORMAL,65.1,NORMAL,,TURNAROUND,-3.97,NORMAL
UNITDSPR,11.66,NORMAL,3.92,NORMAL,0.75,NORMAL,57.26,NORMAL,15.53,NORMAL,,TURNAROUND,56.05,NORMAL,13.7,NORMAL,,TURNAROUND
VBL,35.49,NORMAL,25.74,NORMAL,22.46,NORMAL,80.57,NORMAL,47.61,NORMAL,,TURNAROUND,81.71,NORMAL,43.1,NORMAL,,ZERO_BASE
VEDL,17.76,NORMAL,9.32,NORMAL,8.07,NORMAL,-20.55,NORMAL,-4.91,NORMAL,-4.07,NORMAL,-29.2,NORMAL,-10.35,NORMAL,-6.26,NORMAL
WIPRO,13.17,NORMAL,8.75,NORMAL,7.53,NORMAL,0.74,NORMAL,4.26,NORMAL,3.35,NORMAL,3.23,NORMAL,9.46,NORMAL,6.25,NORMAL
ZOMATO,82.47,NORMAL,55.96,NORMAL,,INSUFFICIENT,,TURNAROUND,,TURNAROUND,,INSUFFICIENT,,UNKNOWN,,UNKNOWN,,INSUFFICIENT
ZYDUSLIFE,10.71,NORMAL,8.22,NORMAL,10.47,NORMAL,22.06,NORMAL,15.91,NORMAL,16.87,NORMAL,21.86,NORMAL,16.12,NORMAL,16.86,NORMAL
